ID,Area,Title,Priority,Estimate,Depends On,Acceptance Criteria
H-05,Store,Low storage guard,P2,1, ,Suggest lighter formats when <5% free.
I-01,Privacy,Strip GPS EXIF default,P0,1,A-06,No GPS tags in outputs.
I-02,Privacy,Redact faces in crowds,P2,3,C-01,Gaussian blur on non-primary faces.
I-03,Privacy,Signed URL short TTL,P1,2, ,Upload tokens expire <5min.
I-04,Privacy,On-device-only mode,P1,2, ,All network toggled off; warning badge.
I-05,Privacy,PII-free metrics,P1,1, ,Only event+device class; no user IDs.
J-01,Growth,Telemetry on ratio choices,P2,1, ,Aggregate counts per cohort.
J-02,Growth,Time-to-export metric,P2,1, ,p50/p95 recorded.
J-03,Growth,Funnel Edit→Post,P2,1, ,Drop-off heatmap rendered.
J-04,Growth,A/B default ratio,P2,2,B-01,Randomized rollout; compare completion rate.
J-05,Growth,Suggest best ratio per user,P3,3,J-01,Model picks ratio with >5% lift.

